city,lng,lat
南京,118.7780744,32.0572355
广州,113.3076497,23.1200491
长沙,112.9793528,28.21347823
厦门,118.103886,24.48923061
秦皇岛,119.6043676,39.94546157
张家口,114.8937815,40.81118849
宁波,121.579006,29.88525897
南宁,108.2972336,22.80649294
盐城,120.1488718,33.37986188
邯郸,114.4826939,36.60930793
贵阳,106.7091771,26.62990674
衢州,118.8758417,28.95691045
承德,117.9338225,40.99252105
南通,120.873801,32.01466454
沈阳,123.4327909,41.80864478
呼和浩特,111.6603505,40.82831887
银川,106.2064786,38.50262101
中山,121.6779663,38.90043643
武汉,114.3162001,30.58108413
合肥,117.2826991,31.86694226
长春,125.3136424,43.89833761
嘉兴,120.7604277,30.77399224
大连,121.5934778,38.94870994
台州,121.4406129,28.66828329
拉萨,91.1118909,29.66255706
肇庆,112.4796534,23.07866328
西安,125.1501486,42.98636495
保定,115.4948102,38.88656455
江门,113.0781253,22.57511678
西宁,101.767921,36.64073861
乌鲁木齐,87.56498774,43.84038035
绍兴,120.5924674,30.00236458
淮安,119.3132951,33.52834897
温州,120.6906347,28.00283759
郑州,113.6496438,34.75661006
上海,121.4878995,31.24916171
惠州,114.4106581,23.11353985
泰州,119.919606,32.47605327
珠海,113.562447,22.25691465
南昌,115.8935275,28.689578
唐山,118.1834506,39.65053092
金华,119.6525757,29.10289911
佛山,113.1340256,23.03509484
东莞,113.763434,23.04302382
丽水,119.9295758,28.45629955
太原,112.5508636,37.89027705
镇江,119.4558354,32.20440944
