time,aqi,pm2_5,pm10,so2,co,no2,o3,cityname
2017/3/22,91,68,112,14,1.5,63,95,成都
2017/3/23,89,66,115,12,1.3,55,100,成都
2017/3/24,85,63,104,15,1.2,68,65,成都
2017/3/25,88,66,100,13,1.2,52,101,成都
2017/3/26,125,95,148,20,1.5,77,73,成都
2017/3/27,152,117,181,16,2,81,80,成都
2017/3/28,219,169,261,31,2.3,97,40,成都
2017/3/29,119,90,136,15,1.4,51,45,成都
2017/3/30,48,29,48,9,0.9,32,39,成都
2017/3/31,43,25,43,15,1.1,36,41,成都
2017/4/1,54,36,58,11,1,36,30,成都
2017/4/2,47,26,47,13,0.9,36,33,成都
2017/4/3,41,22,41,11,0.7,40,37,成都
2017/4/4,47,25,47,7,0.6,39,48,成都
2017/4/5,64,40,77,19,0.8,46,90,成都
2017/4/6,81,59,111,20,0.9,64,63,成都
2017/4/7,103,77,138,21,1.1,60,80,成都
2017/4/8,132,100,161,18,1.4,65,55,成都
2017/4/9,72,53,82,16,0.8,45,47,成都
2017/4/10,50,27,51,4,0.7,33,22,成都
2017/4/11,50,31,51,6,0.8,34,27,成都
2017/4/12,55,35,60,12,0.9,35,25,成都
2017/4/13,73,48,96,11,1.3,41,57,成都
2017/4/14,94,69,138,18,1.3,47,58,成都
2017/4/15,69,46,87,8,0.8,49,59,成都
2017/4/16,92,68,119,11,1,54,36,成都
2017/4/17,76,56,94,11,1,53,41,成都
2017/4/18,66,42,81,11,0.9,47,35,成都
2017/4/19,56,37,63,14,0.9,44,47,成都
2017/4/20,78,58,103,15,0.9,38,30,成都
2017/4/21,70,51,90,13,0.9,44,27,成都
2017/4/22,83,62,112,15,1.1,55,30,成都
2017/4/23,99,75,138,16,1.5,64,15,成都
2017/4/24,79,55,109,12,1.1,51,38,成都
2017/4/25,123,93,166,21,1.6,72,25,成都
2017/4/26,80,59,104,17,1.5,57,17,成都
2017/4/27,79,58,105,21,1.5,57,27,成都
2017/4/28,89,66,117,25,1.3,51,22,成都
2017/4/29,60,36,71,19,1.2,46,59,成都
2017/4/30,70,47,91,24,1.1,48,34,成都
2017/5/1,79,58,106,22,1.3,57,26,成都
2017/5/2,63,39,75,12,1.1,38,43,成都
2017/5/3,70,37,90,25,0.7,44,44,成都
2017/5/4,81,55,111,16,0.9,47,23,成都
2017/5/5,59,35,68,13,1,44,24,成都
2017/5/6,80,53,111,27,1,55,26,成都
2017/5/7,99,74,143,20,1.2,61,46,成都
2017/5/8,92,69,115,17,1.1,52,28,成都
2017/5/9,80,59,105,12,1.3,46,36,成都
2017/5/10,141,108,197,50,1.7,63,25,成都
