city,AQI,PM2.5,PM10,CO,NO2,SO2,O3
东莞,0,0,0,0.4,12,11,0
中山,0,8,37,0,7,10,86
湛江,67,42,83,0.8,19,18,94
茂名,36,15,36,0.6,13,3,77
梅州,59,14,67,0.5,12,16,82
汕尾,57,40,61,0.8,26,9,82
阳江,79,58,83,0.9,31,26,84
潮州,100,75,79,0.9,12,12,101
揭阳,69,50,62,0.7,13,17,89
云浮,73,53,65,0.7,13,8,122
南宁,82,60,92,0.8,30,16,71
柳州,68,49,73,0.7,18,9,67
北海,0,58,107,1,39,0,0
桂林,62,44,68,0.5,25,10,69
梧州,70,51,74,0.6,28,26,57
防城港,90,67,98,1.3,35,42,53
钦州,67,48,83,0.7,22,14,79
贵港,0,0,0,0,0,0,0
玉林,113,85,0,0.8,20,14,83
百色,85,63,106,0.9,23,8,92
贺州,0,17,36,0.7,0,6,60
河池,35,16,27,0.4,6,3,112
来宾,72,52,94,0.7,48,10,51
崇左,75,55,67,1.2,27,18,54
海口,51,31,52,0.3,17,13,75
三亚,80,59,81,0.7,27,6,64
成都,68,49,63,0.6,29,5,40
自贡,70,51,55,0.7,42,13,24
攀枝花,80,50,110,0.9,50,17,26
泸州,147,112,137,0.9,52,13,15
德阳,0,0,0,0,0,0,0
绵阳,64,46,75,0.8,22,5,43
广元,65,43,80,0.5,28,18,49
遂宁,73,53,72,0.9,34,7,6
乐山,46,32,42,0.3,15,5,84
南充,68,49,77,0.4,40,10,32
达州,0,56,58,0,42,13,52
雅安,100,75,102,0.8,35,12,23
巴中,0,0,0,0,0,0,0
资阳,30,12,30,1.8,14,8,47
甘孜,0,0,0,0,0,0,0
内江,46,29,46,0.7,18,13,89
宜宾,0,0,0,0,0,0,0
广安,0,0,0,0,14,12,93
阿坝,0,0,0,0,0,0,0
凉山,72,52,70,0.8,33,15,58
贵阳,54,36,58,0.6,28,7,26
毕节,68,49,54,0.9,23,5,81
铜仁,63,45,71,0.9,29,7,50
黔西南,62,44,63,0.8,29,6,36
黔南,85,63,77,0.8,31,15,57
黔东南,0,0,0,0,0,0,0
昆明,0,0,30,0.8,0,6,62
玉溪,64,46,50,0.9,27,6,14
保山,60,40,70,1,20,10,62
昭通,33,23,31,0.6,4,8,86
丽江,48,33,43,0.7,16,6,72
临沧,57,40,59,0.7,8,5,90
西双版纳,54,38,38,0.8,11,5,67
德宏,68,49,72,0.6,8,4,96
大理,64,46,57,0.5,16,7,91
曲靖,53,36,55,0.9,26,6,49
楚雄,54,38,53,0.5,11,10,108
红河,33,15,33,0.6,16,4,75
思茅,33,10,14,0.5,5,8,104
文山,28,16,28,0.5,8,4,79
普洱,0,0,23,0.4,11,9,67
迪庆,37,20,37,0.7,16,4,74
拉萨,24,12,19,0.5,17,8,76
山南,165,125,160,1,32,11,56
昌都,62,44,73,0.9,24,15,79
日喀则,193,145,154,1,23,4,39
阿里,195,146,0,0.4,26,15,53
那曲,168,127,163,1,20,9,60
西安,153,117,0,1.2,38,7,46
铜川,97,72,82,0.8,11,9,65
宝鸡,107,80,0,0.8,22,3,39
咸阳,139,106,0,0.9,17,5,69
渭南,134,102,108,0.7,28,13,93
延安,64,46,69,0.7,31,12,44
汉中,82,36,114,0.8,33,37,61
榆林,0,0,0,0,0,0,0
安康,76,32,102,0.4,14,8,101
商洛,0,32,118,0.8,0,7,0
兰州,67,48,71,0.7,20,6,64
嘉峪关,81,18,112,0.5,11,6,93
天水,123,93,114,0.6,12,6,71
武威,52,36,52,1.1,20,10,72
平凉,54,36,58,0.9,29,53,60
酒泉,81,29,112,0.8,28,52,90
庆阳,0,0,0,0,0,0,0
定西,0,0,0,0,0,0,0
甘南,0,69,0,0.8,60,11,11
果洛,60,43,57,0.3,16,16,77
海北,104,78,154,0.8,33,16,26
海南,83,61,111,0.8,29,20,50
海西,64,46,0,1,21,4,47
玉树,91,42,131,0.6,13,9,104
黄南,32,8,19,1.1,64,4,20
石嘴山,25,5,25,0.3,18,5,65
吴忠,182,21,313,0.3,8,3,76
固原,63,45,58,1.5,57,8,15
中卫,164,72,278,0.7,19,8,67
乌鲁木齐,39,27,39,0.7,31,4,39
伊犁哈萨克州,110,67,170,1.7,55,7,17
克拉玛依,23,0,15,0.4,8,2,71
哈密,160,65,270,1.8,82,10,9
和田,143,40,236,0.4,10,3,89
五家渠,27,11,0,0.4,4,3,86
阿勒泰,27,0,8,0.5,5,3,84
喀什,52,12,53,0.4,8,3,79
