city,AQI,PM2.5,PM10,CO,NO2,SO2,O3,lng,lat,timestamp,空气质量,省份,所属省份空气质量排名
焦作,134,102,0,0.8,24,18,75,113.2118359,35.23460755,2023-02-28,轻度污染,河南省,19
揭阳,69,50,62,0.7,13,17,89,116.3795009,23.54799947,2023-02-28,良好,广东省,9
金华,28,7,16,0.2,11,4,87,119.6525757,29.10289911,2023-02-28,优级,浙江省,4
晋城,160,122,163,1.0,51,22,55,112.8673328,35.49983447,2023-02-28,中度污染,山西省,29
晋中,135,103,0,0.8,28,14,56,112.7385144,37.69336153,2023-02-28,轻度污染,山西省,29
荆门,61,40,71,0.7,22,13,70,112.2173303,31.0426112,2023-02-28,良好,湖北省,15
荆州,58,32,66,0.6,35,11,80,112.0998572,30.39610336,2023-02-28,良好,湖北省,15
景德镇,56,38,62,0.3,36,36,53,117.1865226,29.30356277,2023-02-28,良好,江西省,5
九江,60,28,69,0.7,29,14,62,115.999848,29.71963953,2023-02-28,良好,江西省,5
酒泉,81,29,112,0.8,28,52,90,98.50841451,39.74147377,2023-02-28,良好,甘肃省,16
开封,69,6,88,0.6,34,9,52,114.3516421,34.80185418,2023-02-28,良好,河南省,19
克拉玛依,23,0,15,0.4,8,2,71,84.92698963,45.20391925,2023-02-28,优级,新疆维吾尔自治区,8
拉萨,24,12,19,0.5,17,8,76,91.1118909,29.66255706,2023-02-28,优级,西藏区,28
莱芜,80,44,110,0.6,31,11,82,117.6846669,36.23365413,2023-02-28,良好,山东省,21
来宾,72,52,94,0.7,48,10,51,109.2318165,23.74116593,2023-02-28,良好,广西壮族自治区,14
兰州,67,48,71,0.7,20,6,64,103.8233054,36.06422553,2023-02-28,良好,甘肃省,16
廊坊,84,51,117,0.4,17,8,80,116.7036022,39.51861063,2023-02-28,良好,河北省,25
乐山,46,32,42,0.3,15,5,84,103.7608242,29.60095761,2023-02-28,优级,四川省,13
丽江,48,33,43,0.7,16,6,72,100.2296284,26.87535109,2023-02-28,优级,云南省,6
连云港,113,85,100,1.0,27,11,80,119.1738722,34.60154897,2023-02-28,轻度污染,江苏省,11
聊城,80,58,110,0.7,33,12,78,115.9868691,36.45582851,2023-02-28,良好,山东省,21
